Date	time	ms	output	display	units	precision
7/3/2014	9:05:36 AM	9844	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:36 AM	9932	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:36 AM	0021	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:37 AM	0110	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:37 AM	0194	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:37 AM	0283	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:37 AM	0371	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:37 AM	0455	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:37 AM	0542	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:37 AM	0630	-0.020000	-0.020000	%	3.000000
7/3/2014	9:05:37 AM	0714	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:37 AM	0801	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:37 AM	0889	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:37 AM	0974	-0.040000	-0.040000	%	3.000000
7/3/2014	9:05:38 AM	1063	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:38 AM	1151	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:38 AM	1239	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:38 AM	1325	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:38 AM	1411	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:38 AM	1499	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:38 AM	1584	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:38 AM	1671	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:38 AM	1745	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:38 AM	1823	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:38 AM	1912	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:38 AM	2000	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:39 AM	2087	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:39 AM	2173	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:39 AM	2261	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:39 AM	2349	-0.040000	-0.040000	%	3.000000
